,Tot_Streams,Best_Rank,Top_Category,%Stream,Best_Rank_Moment,Best_Rank_Moment_5_Day
2017-10-18,1333043,4,0,0.01304286125588742,0.0,0.0
2017-10-19,1386976,4,0,0.013477561085551888,0.0,0.0
2017-10-20,1473213,4,0,0.013081300023965597,0.0,-0.2
2017-10-21,1417196,2,0,0.013922314386374177,1.0,0.2
2017-10-22,1248560,2,0,0.013875759320967086,0.0,0.2
2017-10-23,1282632,4,0,0.012883575382012185,-1.0,0.0
2017-10-24,1318978,4,0,0.013042139202012845,0.0,0.0
2017-10-25,1311891,5,0,0.01272634760931364,-1.0,-0.2
2017-10-26,1487833,6,0,0.014308369548887444,-1.0,-0.6
2017-10-27,1747715,6,0,0.016018080653189673,0.0,-0.6
2017-10-28,1570980,5,0,0.01589460112309383,1.0,-0.2
2017-10-29,1379706,5,0,0.01563218468943107,0.0,-0.2
2017-10-30,1406569,7,0,0.014615385614500577,-1.0,-0.2
2017-10-31,2066460,6,0,0.019272245589100068,1.0,0.2
2017-11-01,1841889,6,0,0.018198305428176208,0.0,0.2
2017-11-02,1790169,6,0,0.01710689640798837,0.0,0.0
2017-11-03,1836456,7,0,0.016063249697325352,-1.0,-0.2
2017-11-04,1640722,6,0,0.015917954604701665,1.0,0.2
2017-11-05,1398354,6,0,0.015286557276003301,0.0,0.0
2017-11-06,1435257,7,0,0.01403092836557047,-1.0,-0.2
2017-11-07,1405479,8,0,0.01332934809428397,-1.0,-0.4
2017-11-08,1379809,7,0,0.013170168878204346,1.0,0.0
2017-11-09,1386477,7,0,0.013223127017657101,0.0,-0.2
2017-11-10,1397996,7,0,0.012864378466312325,0.0,-0.2
2017-11-11,1124910,7,0,0.011113227458447528,0.0,0.0
2017-11-12,1032339,6,0,0.01145312257484604,1.0,0.4
2017-11-13,1049008,9,0,0.010705134373924329,-1.0,0.0
2017-11-14,1094577,9,0,0.01079408748879508,0.0,0.0
2017-11-15,1112798,9,0,0.01091000475999814,0.0,0.0
2017-11-16,1111321,10,0,0.010889451055145135,-1.0,-0.2
2017-11-17,1172603,8,0,0.011048051202149923,1.0,-0.2
2017-11-18,1177715,5,0,0.011886662295192097,1.0,0.2
2017-11-19,1069383,5,0,0.011980198010928391,0.0,0.2
2017-11-20,1080539,7,0,0.01117746211750344,-1.0,0.0
2017-11-21,1128678,10,0,0.011096657417534999,-1.0,0.0
2017-11-22,1175853,7,0,0.011292376410664724,1.0,0.0
2017-11-23,1082482,6,0,0.011433819650376183,1.0,0.0
2017-11-24,1032993,5,0,0.01147892620440588,1.0,0.2
2017-11-25,1066799,4,0,0.011571195142228105,1.0,0.6
2017-11-26,1016347,6,0,0.011244683791333766,-1.0,0.6
2017-11-27,1037784,10,0,0.01073721368299267,-1.0,0.2
2017-11-28,1075721,10,0,0.010866496967966108,0.0,0.0
