,Tot_Streams,Best_Rank,Top_Category,%Stream,Best_Rank_Moment,Best_Rank_Moment_5_Day
2017-07-03,637771,43,5,0.0067099481861763455,0.0,0.0
2017-07-04,475023,46,5,0.004910099399374039,-1.0,-0.4
2017-07-05,470733,45,5,0.004895974441123186,1.0,0.0
2017-07-06,658630,44,5,0.006727143787711554,1.0,0.0
2017-07-07,506271,50,5,0.004864378536778955,-1.0,0.0
2017-07-08,657296,46,5,0.0066003521876173525,1.0,0.2
2017-07-09,458035,45,5,0.0050921619783222995,1.0,0.6
2017-07-10,485461,47,5,0.005052441110525226,-1.0,0.2
2017-07-11,693045,44,5,0.007150314889531919,1.0,0.2
2017-07-12,704515,44,5,0.007244080565704479,0.0,0.4
2017-07-13,706805,45,5,0.007144435084932308,-1.0,0.0
2017-07-14,562942,45,5,0.005386282868154533,0.0,-0.2
2017-07-15,718908,44,5,0.007271542344231368,1.0,0.2
2017-07-16,650860,46,5,0.007326557875135669,-1.0,-0.2
2017-07-17,682132,44,5,0.007112952029002382,1.0,0.0
2017-07-18,710436,45,5,0.007282590851329557,-1.0,0.0
2017-07-19,712735,44,5,0.007380229504857722,1.0,0.2
2017-07-20,704549,45,5,0.00720355133181998,-1.0,-0.2
2017-07-21,525150,51,5,0.00459098189182636,-1.0,-0.2
2017-07-22,516056,48,5,0.005142162217752459,1.0,-0.2
2017-07-23,477082,42,5,0.005396461152073115,1.0,0.2
2017-07-24,509921,44,5,0.005333491173346721,-1.0,-0.2
2017-07-25,532025,45,5,0.005403126943244342,-1.0,-0.2
2017-07-26,706758,43,5,0.007242650358435144,1.0,0.2
2017-07-27,714954,44,5,0.007357037064081271,-1.0,-0.2
2017-07-28,572297,42,5,0.005680740849517309,1.0,-0.2
2017-07-29,717593,35,5,0.007547474667752212,1.0,0.2
2017-07-30,654080,36,5,0.007609527908881301,-1.0,0.2
2017-07-31,534184,43,5,0.0057395612310315765,-1.0,-0.2
2017-08-01,539411,46,5,0.005720752314282942,-1.0,-0.2
2017-08-02,539089,45,5,0.0057612029577386245,1.0,-0.2
2017-08-03,695973,46,5,0.007415451779953275,-1.0,-0.6
2017-08-04,552340,45,5,0.005637298113253456,1.0,-0.2
2017-08-05,544580,39,5,0.00584277965934614,1.0,0.2
2017-08-06,500234,40,5,0.005946240792927835,-1.0,0.2
2017-08-07,508545,46,5,0.00568139987136706,-1.0,-0.2
2017-08-08,524512,46,5,0.005687727708580903,0.0,0.0
2017-08-09,697875,45,5,0.007458639937808169,1.0,0.0
2017-08-10,700199,45,5,0.007428654472480753,0.0,-0.2
2017-08-11,555474,44,5,0.005660665774369466,1.0,0.2
2017-08-12,538321,41,5,0.005847831308325986,1.0,0.6
2017-08-13,500698,41,5,0.0059217588595283175,0.0,0.6
2017-08-14,517753,44,5,0.005737589032404186,-1.0,0.2
2017-08-15,528275,46,5,0.0057241140533693625,-1.0,0.0
2017-08-16,545661,41,5,0.005899170808336599,1.0,0.0
2017-08-17,545067,41,5,0.0058530242090841,0.0,-0.2
2017-08-18,566037,42,5,0.00577476951223435,-1.0,-0.4
2017-08-19,558174,41,5,0.0059260452435029014,1.0,0.0
2017-08-20,512969,39,5,0.005966668755708516,1.0,0.4
2017-08-21,515338,43,5,0.0057468847529461705,-1.0,0.0
2017-08-22,541454,42,5,0.005775004520938143,1.0,0.2
2017-08-23,540957,44,5,0.005745372547035401,-1.0,0.2
2017-08-24,557986,41,5,0.005821502232941196,1.0,0.2
2017-08-25,566006,62,5,0.00466132278851176,-1.0,-0.2
2017-08-26,601283,48,5,0.0054296210955547776,1.0,0.2
2017-08-27,481237,47,5,0.005095223700921083,1.0,0.2
2017-08-28,529996,49,5,0.005093829332785784,-1.0,0.2
2017-08-29,563236,47,5,0.005273956770439054,1.0,0.2
2017-08-30,573226,43,5,0.005342889998995131,1.0,0.6
2017-08-31,582711,41,5,0.005458866135746763,1.0,0.6
2017-09-01,616286,39,5,0.005564690897378303,1.0,0.6
2017-09-02,566230,40,5,0.005595243247772743,-1.0,0.6
2017-09-03,516292,42,5,0.005541123987462763,-1.0,0.2
2017-09-04,524747,45,5,0.0053555846329941025,-1.0,-0.2
2017-09-05,521110,47,5,0.005178147409081038,-1.0,-0.6
2017-09-06,526833,47,5,0.005227166430263327,0.0,-0.8
2017-09-07,543577,45,5,0.005344280671316853,1.0,-0.4
2017-09-08,554369,46,5,0.005116424265589165,-1.0,-0.4
2017-09-09,545241,44,5,0.0054396153718914665,1.0,0.0
2017-09-10,481433,48,5,0.005348397316066238,-1.0,0.0
2017-09-11,481613,51,5,0.0049884515182055285,-1.0,-0.2
2017-09-12,500211,51,5,0.004989014087471093,0.0,-0.4
2017-09-13,500547,51,5,0.004881770380957581,0.0,-0.2
2017-09-14,537631,52,5,0.0051307073979609,-1.0,-0.6
2017-09-15,527466,56,5,0.0047582253030046,-1.0,-0.6
2017-09-16,506319,49,5,0.00488846539441059,1.0,-0.2
2017-09-17,466248,47,5,0.005007221276356005,1.0,0.0
2017-09-18,511065,50,5,0.004965515480435253,-1.0,-0.2
2017-09-19,535530,46,5,0.005074064110747454,1.0,0.2
2017-09-20,540801,46,5,0.005074164433830461,0.0,0.4
2017-09-21,548095,46,5,0.005123186703918366,0.0,0.2
2017-09-22,550822,46,5,0.004959508062381205,0.0,0.0
2017-09-23,499833,46,5,0.004880323961816242,0.0,0.2
2017-09-24,441345,49,5,0.004762483973172328,-1.0,-0.2
2017-09-25,464282,52,5,0.004605455570519926,-1.0,-0.4
2017-09-26,465646,55,5,0.004492902662842249,-1.0,-0.6
2017-09-27,454517,59,5,0.004309344974671575,-1.0,-0.8
2017-09-28,458492,59,5,0.004317236161326471,0.0,-0.8
2017-09-29,474495,56,5,0.0042674130770059705,1.0,-0.4
2017-09-30,480912,49,5,0.004713325523658569,1.0,0.0
2017-10-01,428297,49,5,0.004698104934855761,0.0,0.2
2017-10-02,454395,52,5,0.004584484545314617,-1.0,0.2
2017-10-03,457704,62,5,0.004298623769637704,-1.0,0.0
2017-10-04,442756,59,5,0.004284779119508646,1.0,0.0
2017-10-05,448641,56,5,0.0043618023361860015,1.0,0.0
2017-10-06,461642,59,5,0.004114355229256978,-1.0,-0.2
2017-10-07,428262,56,5,0.004219593534815997,1.0,0.2
2017-10-08,376500,61,5,0.004164041836443537,-1.0,0.2
2017-10-09,387510,65,5,0.003970448087367194,-1.0,-0.2
2017-10-10,398130,63,5,0.004004879569490082,1.0,-0.2
2017-10-11,398105,66,5,0.003981379220247722,-1.0,-0.2
2017-10-12,413997,63,5,0.004064204011482854,1.0,-0.2
2017-10-13,434375,66,5,0.00403567639199874,-1.0,-0.2
2017-10-14,406224,64,5,0.00408476913569099,1.0,0.2
2017-10-15,369113,64,5,0.0040966601497917495,0.0,0.0
2017-10-16,388359,68,5,0.0039495793345468485,-1.0,0.0
2017-10-17,394884,69,5,0.003913855183532407,-1.0,-0.4
2017-10-18,395159,68,5,0.0038663449048644467,1.0,0.0
2017-10-19,406455,64,5,0.0039496156321580135,1.0,0.0
2017-10-20,479572,71,5,0.004258328710847127,-1.0,-0.2
2017-10-21,406350,65,5,0.003991919572806547,1.0,0.2
2017-10-22,361755,64,5,0.004020331672612008,1.0,0.6
2017-10-23,383458,67,5,0.003851697173340154,-1.0,0.2
2017-10-24,393698,65,5,0.0038929111172089706,1.0,0.2
2017-10-25,397545,66,5,0.0038564910197147408,-1.0,0.2
2017-10-26,402338,66,5,0.0038692519843021877,0.0,0.0
2017-10-27,425621,63,5,0.003900882870314234,1.0,0.0
2017-10-28,392749,59,5,0.003973690751310634,1.0,0.4
2017-10-29,352574,58,5,0.003994692988717502,1.0,0.4
2017-10-30,360118,65,5,0.0037419162776392194,-1.0,0.4
2017-10-31,379449,80,5,0.003538822099889875,-1.0,0.2
2017-11-01,370478,73,5,0.003660411565745745,1.0,0.2
2017-11-02,381058,74,5,0.0036413990698281736,-1.0,-0.2
2017-11-03,402008,75,5,0.0035163134234211814,-1.0,-0.6
2017-11-04,368825,69,5,0.003578265914078736,1.0,-0.2
2017-11-05,328455,71,5,0.003590611654909747,-1.0,-0.2
2017-11-06,353611,87,5,0.003456865641677929,-1.0,-0.6
2017-11-07,372480,78,5,0.0035325434091572293,1.0,-0.2
2017-11-08,379187,74,5,0.0036193102280240755,1.0,0.2
2017-11-09,381128,69,5,0.0036348990671937692,1.0,0.2
2017-11-10,390266,76,5,0.0035912331126368357,-1.0,0.2
2017-11-11,371934,68,5,0.0036744158568509685,1.0,0.6
2017-11-12,330302,72,5,0.0036644835589053565,-1.0,0.2
2017-11-13,340137,82,5,0.003471100592696623,-1.0,-0.2
2017-11-14,352378,81,5,0.003474948734649671,1.0,-0.2
2017-11-15,352979,78,5,0.003460648356826112,1.0,0.2
2017-11-16,357001,77,5,0.003498129627837383,1.0,0.2
2017-11-17,362220,81,5,0.003412770653360724,-1.0,0.2
2017-11-18,345699,76,5,0.0034891355453446826,1.0,0.6
2017-11-19,310614,77,5,0.0034797796719851647,-1.0,0.2
2017-11-20,324481,83,5,0.0033565415828115727,-1.0,-0.2
2017-11-21,346753,79,5,0.0034091204484383623,1.0,-0.2
2017-11-22,360275,77,5,0.003459923061260407,1.0,0.2
2017-11-23,321869,78,5,0.003399772095098978,-1.0,-0.2
2017-11-24,285589,84,5,0.00317355011678692,-1.0,-0.2
2017-11-25,299850,84,5,0.003252367937537528,0.0,0.0
2017-11-26,294956,88,5,0.003263341115147329,-1.0,-0.4
2017-11-27,310299,88,5,0.0032104432797373465,0.0,-0.6
2017-11-28,317433,90,5,0.0032065793379811173,-1.0,-0.6
2017-11-29,322639,89,5,0.0032146328340191864,1.0,-0.2
2017-11-30,372153,87,5,0.003681862970643585,1.0,0.0
2017-12-01,337185,102,5,0.0029753167962128287,-1.0,0.0
2017-12-02,318073,104,5,0.0029248054570302664,-1.0,-0.2
2017-12-03,287231,110,5,0.002856941454846045,-1.0,-0.2
2017-12-04,300540,116,5,0.0028684051698751258,-1.0,-0.6
2017-12-05,313049,112,5,0.002940041243167423,1.0,-0.6
2017-12-06,319567,107,5,0.0030184656893894367,1.0,-0.2
2017-12-07,330203,107,5,0.003067143005190809,0.0,0.0
2017-12-08,334991,118,5,0.0029719554051699805,-1.0,0.0
2017-12-09,313864,120,5,0.0028599204730637806,-1.0,0.0
2017-12-10,285420,116,5,0.0028565686667384594,1.0,0.0
2017-12-11,300431,114,5,0.002965747921959678,1.0,0.0
2017-12-12,312455,112,5,0.002973109183487095,1.0,0.2
2017-12-13,307523,117,5,0.0029272028450017143,-1.0,0.2
2017-12-14,310510,114,5,0.0029320034584251285,1.0,0.6
2017-12-15,308306,134,5,0.00258987924122904,-1.0,0.2
2017-12-16,263047,140,5,0.002301998964758125,-1.0,-0.2
2017-12-17,234813,137,5,0.002325999694585808,1.0,-0.2
2017-12-18,248188,135,5,0.002340313456108354,1.0,0.2
2017-12-19,285355,130,5,0.0026239453126964793,1.0,0.2
2017-12-20,287067,131,5,0.0026115470522647195,-1.0,0.2
2017-12-21,262144,131,5,0.0023365811321430113,0.0,0.4
2017-12-22,255876,159,5,0.0020310592937532574,-1.0,0.0
2017-12-23,243223,160,5,0.0020159938067100054,-1.0,-0.4
2017-12-24,223334,191,5,0.001660877262439014,-1.0,-0.8
2017-12-26,222271,128,5,0.002546672020378784,1.0,-0.4
2017-12-27,269461,117,5,0.0029356086129430424,1.0,-0.2
2017-12-28,277388,114,5,0.0029819955573439226,1.0,0.2
2017-12-29,283939,108,5,0.0030357762800986374,1.0,0.6
2017-12-30,277921,105,5,0.003033502773879007,1.0,1.0
2017-12-31,265205,116,5,0.00256961955959082,-1.0,0.6
2018-01-01,268274,111,5,0.0029791350718280443,1.0,0.6
2018-01-02,250743,126,5,0.002772370414241406,-1.0,0.2
2018-01-03,279364,115,5,0.002923435324701886,1.0,0.2
2018-01-04,275592,117,5,0.002904835888977997,-1.0,0.0
2018-01-05,293717,109,5,0.0028987760303434643,1.0,0.0
2018-01-06,284923,107,5,0.002937404448632196,1.0,0.0
2018-01-07,261291,109,5,0.002900286062636482,-1.0,0.0
2018-01-08,280853,113,5,0.0028373644323068754,-1.0,0.0
2018-01-09,289843,115,5,0.002825673788365249,-1.0,0.0
