,gucci,patek,versace,balenciaga,saint laurent
2017-04-09,85.92727272727272,30.70909090909091,84.32727272727273,71.25454545454545,25.98181818181818
2017-04-10,71.66666666666667,23.833333333333332,73.25,68.95833333333333,15.75
2017-04-11,69.875,23.75,70.33333333333333,66.75,14.583333333333334
2017-04-12,69.41666666666667,24.416666666666668,69.5,67.08333333333333,14.625
2017-04-13,70.70833333333333,31.416666666666668,68.20833333333333,71.20833333333333,22.375
2017-04-14,75.79166666666667,42.625,73.70833333333333,70.70833333333333,16.833333333333332
2017-04-15,77.66666666666667,30.458333333333332,76.0,72.875,15.25
2017-04-16,87.49090909090908,50.45454545454545,83.69090909090909,42.09090909090909,43.45454545454545
2017-04-17,74.20833333333333,48.833333333333336,74.83333333333333,27.875,58.125
2017-04-18,71.41666666666667,49.708333333333336,69.70833333333333,27.291666666666668,61.583333333333336
2017-04-19,70.04166666666667,47.833333333333336,70.0,35.041666666666664,58.541666666666664
2017-04-20,70.54166666666667,46.166666666666664,72.45833333333333,39.666666666666664,57.458333333333336
2017-04-21,71.95833333333333,49.291666666666664,72.91666666666667,39.083333333333336,59.541666666666664
2017-04-22,77.91666666666667,54.875,82.08333333333333,41.458333333333336,61.625
2017-04-23,84.85454545454546,75.4,34.63636363636363,46.4,43.654545454545456
2017-04-24,70.875,79.16666666666667,10.625,45.791666666666664,44.166666666666664
2017-04-25,70.83333333333333,77.54166666666667,10.625,49.333333333333336,41.75
2017-04-26,69.08333333333333,78.33333333333333,10.291666666666666,74.16666666666667,40.666666666666664
2017-04-27,69.625,77.75,10.208333333333334,77.875,40.125
2017-04-28,70.75,78.70833333333333,11.458333333333334,65.75,44.083333333333336
2017-04-29,79.79166666666667,82.83333333333333,21.708333333333332,59.833333333333336,43.083333333333336
2017-04-30,89.67272727272727,72.78181818181818,33.21818181818182,73.2909090909091,67.76363636363637
2017-05-01,75.875,68.66666666666667,32.625,74.08333333333333,78.83333333333333
2017-05-02,68.70833333333333,67.91666666666667,50.416666666666664,63.25,75.375
2017-05-03,68.45833333333333,70.29166666666667,38.666666666666664,61.958333333333336,74.83333333333333
2017-05-04,68.875,67.33333333333333,32.5,59.25,75.70833333333333
2017-05-05,71.75,72.45833333333333,32.083333333333336,60.916666666666664,75.45833333333333
