,Tot_Streams,Best_Rank,Top_Category,%Stream,Best_Rank_Moment,Best_Rank_Moment_5_Day
2017-03-27,1064903,10,5,0.00958206814892718,-1.0,0.6
2017-03-28,1111176,8,5,0.009931627597250003,1.0,0.6
2017-03-29,1137594,7,5,0.010251778649269672,1.0,0.6
2017-03-30,1149034,7,5,0.010418204643752373,0.0,0.4
2017-03-31,1341829,8,5,0.01155238643486768,-1.0,0.0
2017-04-01,1325594,8,5,0.012211671153020597,0.0,0.2
2017-04-02,1199011,7,5,0.012117063013778592,1.0,0.2
2017-04-03,1239308,9,5,0.011714127860643063,-1.0,-0.2
2017-04-04,1244237,9,5,0.01178986722599373,0.0,-0.2
2017-04-05,1241532,9,5,0.011832445454213619,0.0,0.0
2017-04-06,1226628,9,5,0.011794500793860631,0.0,0.0
2017-04-07,1254118,10,5,0.010845859850688009,-1.0,-0.4
2017-04-08,1207073,10,5,0.011096902561913915,0.0,-0.2
2017-04-09,1093816,10,5,0.011127504051082655,0.0,-0.2
2017-04-10,1114836,10,5,0.010688029149651506,0.0,-0.2
2017-04-11,1121363,10,5,0.010790966717853437,0.0,-0.2
2017-04-12,1139177,10,5,0.010969544234641363,0.0,0.0
2017-04-13,1161341,9,5,0.010981860239509197,1.0,0.2
2017-04-14,1159579,22,5,0.008364503985813152,-1.0,0.0
2017-04-15,849129,27,5,0.00702656302629154,-1.0,-0.2
2017-04-16,920920,23,5,0.00878859372384546,1.0,0.0
2017-04-17,987699,26,5,0.008548929157902967,-1.0,-0.2
2017-04-18,1018913,26,5,0.008535613225261736,0.0,-0.4
2017-04-19,1008545,25,5,0.008616766596194316,1.0,0.0
2017-04-20,1018044,22,5,0.008753724084292553,1.0,0.4
2017-04-21,1080194,20,5,0.008977556665178046,1.0,0.4
2017-04-22,1072720,13,5,0.009629036503556026,1.0,0.8
2017-04-23,970310,14,5,0.00965650139374432,-1.0,0.6
2017-04-24,994251,17,5,0.009101877938213467,-1.0,0.2
2017-04-25,1013014,17,5,0.00914588591505545,0.0,0.0
2017-04-26,1023176,15,5,0.009229501650245098,1.0,0.0
2017-04-27,1050171,15,5,0.009492012542818049,0.0,-0.2
2017-04-28,1078289,15,5,0.009025632404632628,0.0,0.0
2017-04-29,1059379,14,5,0.009572950213753288,1.0,0.4
2017-04-30,949268,14,5,0.009522644429092805,0.0,0.4
2017-05-01,946561,16,5,0.008862267701133596,-1.0,0.0
2017-05-02,990427,16,5,0.008907705003344165,0.0,0.0
2017-05-03,993214,16,5,0.00890367858022788,0.0,0.0
2017-05-04,993937,17,5,0.008912002066137452,-1.0,-0.4
2017-05-05,1026827,19,5,0.008481374988014012,-1.0,-0.6
2017-05-06,1019813,13,5,0.009156008248562254,1.0,-0.2
2017-05-07,891787,15,5,0.008907293835591372,-1.0,-0.4
2017-05-08,908736,20,5,0.008335400513932712,-1.0,-0.6
2017-05-09,952890,19,5,0.008505994834381615,1.0,-0.2
